object_name,column_name,r_type,n_non_null,fill_rate,n_distinct,example_value
ellis_runs,ellis_run_id,character,1,1,1,ellis-20260728T021902
ellis_runs,ferry_run_id,character,1,1,1,maelstrom-20260728T021329
ellis_runs,ferry_run_status,character,1,1,1,completed
ellis_runs,ferry_run_completed_at_utc,character,1,1,1,2026-07-28 02:14:49 UTC
ellis_runs,started_at_utc,character,1,1,1,2026-07-28 02:19:02 UTC
ellis_runs,completed_at_utc,character,1,1,1,2026-07-28 02:19:03 UTC
ellis_runs,source_db_path,character,1,1,1,./data-private/derived/maelstrom/maelstrom-…
ellis_runs,target_db_path,character,1,1,1,./data-private/derived/maelstrom/maelstrom-…
ellis_runs,lexicon_concepts,integer,1,1,1,4
ellis_runs,lexicon_terms,integer,1,1,1,37
ellis_runs,studies_in,integer,1,1,1,455
ellis_runs,studies_out,integer,1,1,1,455
ellis_runs,studies_in_frame,integer,1,1,1,155
ellis_runs,status,character,1,1,1,completed
ellis_runs,notes,character,0,0,0,NA
concept_lexicon,ellis_run_id,character,37,1,1,ellis-20260728T021902
concept_lexicon,concept,character,37,1,4,dementia
concept_lexicon,concept_weight,numeric,37,1,4,3
concept_lexicon,term_label,character,37,1,37,dementia
concept_lexicon,pattern,character,37,1,37,dementia
concept_lexicon,match_mode,character,37,1,2,substring
concept_lexicon,rationale,character,37,1,4,Names the disease spectrum directly; suffic…
screening_flow,ellis_run_id,character,4,1,1,ellis-20260728T021902
screening_flow,step,integer,4,1,4,0
screening_flow,criterion,character,4,1,4,All individual studies in the Ferry run
screening_flow,definition,character,4,1,4,One row per study in the completed Ferry ex…
screening_flow,n_remaining,integer,4,1,4,455
screening_flow,n_excluded,integer,4,1,4,0
screening_evidence,ellis_run_id,character,1025,1,1,ellis-20260728T021902
screening_evidence,study_id,character,1025,1,211,3d
screening_evidence,concept,character,1025,1,4,cognition
screening_evidence,term_label,character,1025,1,35,cognition or cognitive
screening_evidence,source_field,character,1025,1,6,event_text
screening_evidence,n_hits,integer,1025,1,53,26
screening_evidence,first_snippet,character,1025,1,996,cteristics was collected from questionnaire…
study_population,ellis_run_id,character,998,1,1,ellis-20260728T021902
study_population,study_id,character,998,1,455,3d
study_population,population_id,character,998,1,39,1
study_population,population_order,integer,998,1,20,1
study_population,population_name,character,998,1,998,3D - Mothers
study_population,participant_number,integer,848,0.8496993987975952,637,2456
study_population,sample_number,integer,526,0.5270541082164328,383,2357
study_population,minimum_age,integer,658,0.6593186372745491,61,18
study_population,maximum_age,integer,368,0.3687374749498998,62,47
study_population,age_span_years,integer,332,0.33266533066132264,61,29
study_population,flag_newborn,logical,998,1,2,FALSE
study_population,flag_twins,logical,998,1,2,FALSE
study_population,flag_older_adult_reach,logical,998,1,2,FALSE
study_population,n_countries,integer,998,1,9,1
study_population,primary_country,character,994,0.9959919839679359,44,CAN
study_population,countries,character,994,0.9959919839679359,51,CAN
study_population,recruitment_data_sources,character,991,0.9929859719438878,9,specific_population
study_population,recruitment_general,character,477,0.4779559118236473,6,volunteer
study_population,recruitment_specific,character,457,0.45791583166332667,5,clinic_patients
study_population,n_waves,integer,998,1,42,34
study_population,first_wave_year,integer,998,1,77,2010
study_population,last_wave_year,integer,998,1,57,2028
study_population,follow_up_span_years,integer,998,1,61,18
study_wave,ellis_run_id,character,6483,1,1,ellis-20260728T021902
study_wave,study_id,character,6483,1,455,3d
study_wave,population_id,character,6483,1,39,1
study_wave,dce_id,character,6483,1,88,1
study_wave,wave_name,character,6483,1,6190,3D - Mothers - Prenatal visit 1 (8 to 14 we…
study_wave,wave_order_study,integer,6483,1,193,1
study_wave,wave_order_population,integer,6483,1,83,1
study_wave,start_year,integer,6483,1,98,2010
study_wave,end_year,integer,5693,0.8781428351072035,95,2012
study_wave,duration_years,integer,5693,0.8781428351072035,41,2
study_wave,years_since_first_wave,integer,6483,1,69,0
