"table_name","column_name","declared_type","ordinal_position","row_count","n_non_null","fill_rate","n_distinct","min_value","max_value","example_value","is_opaque_payload"
"ellis_runs","ellis_run_id","TEXT",1,1,1,1,1,"ellis-20260728T015434","ellis-20260728T015434","ellis-20260728T015434",0
"ellis_runs","ferry_run_id","TEXT",2,1,1,1,1,"maelstrom-20260727T174615","maelstrom-20260727T174615","maelstrom-20260727T174615",0
"ellis_runs","ferry_run_status","TEXT",3,1,1,1,1,"completed","completed","completed",0
"ellis_runs","ferry_run_completed_at_utc","TEXT",4,1,1,1,1,"2026-07-27 17:47:32 UTC","2026-07-27 17:47:32 UTC","2026-07-27 17:47:32 UTC",0
"ellis_runs","started_at_utc","TEXT",5,1,1,1,1,"2026-07-28 01:54:34 UTC","2026-07-28 01:54:34 UTC","2026-07-28 01:54:34 UTC",0
"ellis_runs","completed_at_utc","TEXT",6,1,1,1,1,"2026-07-28 01:54:36 UTC","2026-07-28 01:54:36 UTC","2026-07-28 01:54:36 UTC",0
"ellis_runs","source_db_path","TEXT",7,1,1,1,1,,,,1
"ellis_runs","target_db_path","TEXT",8,1,1,1,1,,,,1
"ellis_runs","lexicon_concepts","INTEGER",9,1,1,1,1,"4","4","4",0
"ellis_runs","lexicon_terms","INTEGER",10,1,1,1,1,"37","37","37",0
"ellis_runs","studies_in","INTEGER",11,1,1,1,1,"455","455","455",0
"ellis_runs","studies_out","INTEGER",12,1,1,1,1,"455","455","455",0
"ellis_runs","studies_in_frame","INTEGER",13,1,1,1,1,"155","155","155",0
"ellis_runs","status","TEXT",14,1,1,1,1,"completed","completed","completed",0
"ellis_runs","notes","TEXT",15,1,0,0,0,,,,1
"concept_lexicon","ellis_run_id","TEXT",1,37,37,1,1,"ellis-20260728T015434","ellis-20260728T015434","ellis-20260728T015434",0
"concept_lexicon","concept","TEXT",2,37,37,1,4,"ageing","dementia","ageing",0
"concept_lexicon","concept_weight","REAL",3,37,37,1,4,"0","3","3",0
"concept_lexicon","term_label","TEXT",4,37,37,1,37,"APOE","white matter","ageing or aging",0
"concept_lexicon","pattern","TEXT",5,37,37,1,37,,,,1
"concept_lexicon","match_mode","TEXT",6,37,37,1,2,"substring","word","substring",0
"concept_lexicon","rationale","TEXT",7,37,37,1,4,,,,1
"screening_evidence","ellis_run_id","TEXT",1,1025,1025,1,1,"ellis-20260728T015434","ellis-20260728T015434","ellis-20260728T015434",0
"screening_evidence","study_id","TEXT",2,1025,1025,1,211,"3d","zulu","abc1921",0
"screening_evidence","concept","TEXT",3,1025,1025,1,4,"ageing","dementia","ageing",0
"screening_evidence","term_label","TEXT",4,1025,1025,1,35,"APOE","white matter","cognition or cognitive",0
"screening_evidence","source_field","TEXT",5,1025,1025,1,6,"event_text","study_objectives","event_text",0
"screening_evidence","n_hits","INTEGER",6,1025,1025,1,53,"1","258","26",0
"screening_evidence","first_snippet","TEXT",7,1025,1025,1,996,,,,1
"screening_flow","ellis_run_id","TEXT",1,4,4,1,1,"ellis-20260728T015434","ellis-20260728T015434","ellis-20260728T015434",0
"screening_flow","step","INTEGER",2,4,4,1,4,"0","3","0",0
"screening_flow","criterion","TEXT",3,4,4,1,4,,,,1
"screening_flow","definition","TEXT",4,4,4,1,4,,,,1
"screening_flow","n_remaining","INTEGER",5,4,4,1,4,"155","455","455",0
"screening_flow","n_excluded","INTEGER",6,4,4,1,4,"0","283","0",0
"study_profile","ellis_run_id","TEXT",1,455,455,1,1,"ellis-20260728T015434","ellis-20260728T015434","ellis-20260728T015434",0
"study_profile","ferry_run_id","TEXT",2,455,455,1,1,"maelstrom-20260727T174615","maelstrom-20260727T174615","maelstrom-20260727T174615",0
"study_profile","study_id","TEXT",3,455,455,1,455,"3d","zulu","3d",0
"study_profile","study_acronym","TEXT",4,455,455,1,451,"10/66","stenoCARDIA","3D",0
"study_profile","study_name","TEXT",5,455,455,1,455,,,,1
"study_profile","study_page_url","TEXT",6,455,455,1,455,,,,1
"study_profile","website_url","TEXT",7,455,346,0.7604,307,,,,1
"study_profile","inventory_rank","INTEGER",8,455,455,1,455,"1","455","2",0
"study_profile","design_code","TEXT",9,455,455,1,7,"case_control","registry","case_control",0
"study_profile","design_label","TEXT",10,455,455,1,7,"Case only","Registry","Cohort study",0
"study_profile","study_start_year","INTEGER",11,455,455,1,73,"1920","2026","2010",0
"study_profile","published","INTEGER",12,455,455,1,1,"1","1","1",0
"study_profile","marker_paper","TEXT",13,455,311,0.6835,291,,,,1
"study_profile","pubmed_id","TEXT",14,455,271,0.5956,255,,,,1
"study_profile","n_populations","INTEGER",15,455,455,1,13,"1","20","4",0
"study_profile","target_number","INTEGER",16,455,380,0.8352,345,"20","4275000","8365",0
"study_profile","total_participants","INTEGER",17,455,376,0.8264,352,"20","4275000","8365",0
"study_profile","total_samples","INTEGER",18,455,258,0.567,233,"15","486019","5700",0
"study_profile","n_waves","INTEGER",19,455,455,1,66,"1","193","105",0
"study_profile","max_population_waves","INTEGER",20,455,455,1,38,"1","83","34",0
"study_profile","first_wave_year","INTEGER",21,455,455,1,73,"1920","2026","2010",0
"study_profile","last_wave_year","INTEGER",22,455,455,1,52,"1921","2032","2029",0
"study_profile","follow_up_span_years","INTEGER",23,455,455,1,59,"0","83","19",0
"study_profile","mean_wave_gap_years","REAL",24,455,375,0.8242,164,"0","67","0.584158415841584",0
