"table_group","table_name","column_position","column_name","declared_type","is_primary_key","is_opaque_payload","n_rows","n_non_null","fill_rate","n_distinct","min_value","max_value","example_value"
"1-run-provenance","extraction_runs",1,"run_id","TEXT",1,0,1,1,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"1-run-provenance","extraction_runs",2,"started_at_utc","TEXT",0,0,1,1,1,1,"2026-07-28 02:13:29 UTC","2026-07-28 02:13:29 UTC","2026-07-28 02:13:29 UTC"
"1-run-provenance","extraction_runs",3,"completed_at_utc","TEXT",0,0,1,1,1,1,"2026-07-28 02:14:49 UTC","2026-07-28 02:14:49 UTC","2026-07-28 02:14:49 UTC"
"1-run-provenance","extraction_runs",4,"base_url","TEXT",0,0,1,1,1,1,"https://www.maelstrom-research.org","https://www.maelstrom-research.org","https://www.maelstrom-research.org"
"1-run-provenance","extraction_runs",5,"inventory_url","TEXT",0,0,1,1,1,1,"https://www.maelstrom-research.org/ws/studies/_rql?query=study%28in%28Mica_study...","https://www.maelstrom-research.org/ws/studies/_rql?query=study%28in%28Mica_study...","https://www.maelstrom-research.org/ws/studies/_rql?query=study%28in%28Mica_study..."
"1-run-provenance","extraction_runs",6,"requested_max_studies","INTEGER",0,0,1,0,0,0,,,
"1-run-provenance","extraction_runs",7,"page_size","INTEGER",0,0,1,1,1,1,"50","50","50"
"1-run-provenance","extraction_runs",8,"expected_total_studies","INTEGER",0,0,1,1,1,1,"455","455","455"
"1-run-provenance","extraction_runs",9,"extracted_inventory_studies","INTEGER",0,0,1,1,1,1,"455","455","455"
"1-run-provenance","extraction_runs",10,"extracted_detail_studies","INTEGER",0,0,1,1,1,1,"455","455","455"
"1-run-provenance","extraction_runs",11,"status","TEXT",0,0,1,1,1,1,"completed","completed","completed"
"1-run-provenance","extraction_runs",12,"notes","TEXT",0,0,1,0,0,0,,,
"2-raw-payload","study_inventory",1,"run_id","TEXT",1,0,455,455,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"2-raw-payload","study_inventory",2,"inventory_rank","INTEGER",0,0,455,455,1,455,"1","455","1"
"2-raw-payload","study_inventory",3,"study_id","TEXT",1,0,455,455,1,455,"3d","zulu","3d"
"2-raw-payload","study_inventory",4,"source_url","TEXT",0,0,455,455,1,10,"https://www.maelstrom-research.org/ws/studies/_rql?query=study%28in%28Mica_study...","https://www.maelstrom-research.org/ws/studies/_rql?query=study%28in%28Mica_study...","https://www.maelstrom-research.org/ws/studies/_rql?query=study%28in%28Mica_study..."
"2-raw-payload","study_inventory",5,"study_page_url","TEXT",0,0,455,455,1,455,"https://www.maelstrom-research.org/study/3d","https://www.maelstrom-research.org/study/zulu","https://www.maelstrom-research.org/study/bcs70"
"2-raw-payload","study_inventory",6,"study_resource_path","TEXT",0,0,455,455,1,1,"individual-study","individual-study","individual-study"
"2-raw-payload","study_inventory",7,"name_en","TEXT",0,0,455,455,1,455,"1970 British Cohort Study","iConquerMS People-Powered Research Network","1970 British Cohort Study"
"2-raw-payload","study_inventory",8,"acronym_en","TEXT",0,0,455,455,1,451,"10/66","stenoCARDIA","BCS70"
"2-raw-payload","study_inventory",9,"objectives_html_en","TEXT",0,1,455,455,1,455,,,
"2-raw-payload","study_inventory",10,"design_code","TEXT",0,0,455,455,1,7,"case_control","registry","cohort_study"
"2-raw-payload","study_inventory",11,"target_number","INTEGER",0,0,455,455,1,346,"0","4275000","17198"
"2-raw-payload","study_inventory",12,"target_no_limit","INTEGER",0,0,455,455,1,2,"0","1","0"
"2-raw-payload","study_inventory",13,"summary_json","TEXT",0,1,455,455,1,455,,,
"2-raw-payload","study_detail_raw",1,"run_id","TEXT",1,0,455,455,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"2-raw-payload","study_detail_raw",2,"study_id","TEXT",1,0,455,455,1,455,"3d","zulu","3d"
"2-raw-payload","study_detail_raw",3,"source_url","TEXT",0,0,455,455,1,455,"https://www.maelstrom-research.org/ws/study/3d","https://www.maelstrom-research.org/ws/study/zulu","https://www.maelstrom-research.org/ws/study/bcs70"
"2-raw-payload","study_detail_raw",4,"fetched_at_utc","TEXT",0,0,455,455,1,68,"2026-07-28 02:13:40 UTC","2026-07-28 02:14:47 UTC","2026-07-28 02:13:40 UTC"
"2-raw-payload","study_detail_raw",5,"payload_json","TEXT",0,1,455,455,1,455,,,
"3-study-core","studies",1,"run_id","TEXT",1,0,455,455,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"3-study-core","studies",2,"study_id","TEXT",1,0,455,455,1,455,"3d","zulu","3d"
"3-study-core","studies",3,"published","INTEGER",0,0,455,455,1,1,"1","1","1"
"3-study-core","studies",4,"study_resource_path","TEXT",0,0,455,455,1,1,"individual-study","individual-study","individual-study"
"3-study-core","studies",5,"name_en","TEXT",0,0,455,455,1,455,"1970 British Cohort Study","iConquerMS People-Powered Research Network","1970 British Cohort Study"
"3-study-core","studies",6,"acronym_en","TEXT",0,0,455,455,1,451,"10/66","stenoCARDIA","BCS70"
"3-study-core","studies",7,"objectives_html_en","TEXT",0,1,455,455,1,455,,,
"3-study-core","studies",8,"website_url","TEXT",0,0,455,346,0.7604,307,"","www.snacnordanstig.se","https://cls.ucl.ac.uk/cls-studies/1970-british-cohort-study/"
"3-study-core","studies",9,"design_code","TEXT",0,0,455,455,1,7,"case_control","registry","case_control"
"3-study-core","studies",10,"follow_up_info_html_en","TEXT",0,1,455,421,0.9253,405,,,
"3-study-core","studies",11,"methods_info_html_en","TEXT",0,1,455,175,0.3846,125,,,
"3-study-core","studies",12,"start_year","INTEGER",0,0,455,455,1,73,"1920","2026","1970"
"3-study-core","studies",13,"recruitment_target","TEXT",0,0,455,455,1,6,"","other","individuals"
"3-study-core","studies",14,"target_number","INTEGER",0,0,455,380,0.8352,345,"20","4275000","17198"
"3-study-core","studies",15,"target_no_limit","INTEGER",0,0,455,455,1,2,"0","1","0"
"3-study-core","studies",16,"access_data","TEXT",0,0,455,451,0.9912,3,"na","yes","yes"
"3-study-core","studies",17,"access_biosamples","TEXT",0,0,455,448,0.9846,3,"na","yes","no"
"3-study-core","studies",18,"access_other","TEXT",0,0,455,436,0.9582,3,"na","yes","na"
"3-study-core","studies",19,"access_fees","INTEGER",0,0,455,390,0.8571,2,"0","1","0"
"3-study-core","studies",20,"access_restrictions","INTEGER",0,0,455,390,0.8571,2,"0","1","0"
"3-study-core","studies",21,"maelstrom_authorized","INTEGER",0,0,455,455,1,2,"0","1","1"
"3-study-core","studies",22,"maelstrom_authorizer","TEXT",0,0,455,199,0.4374,184,"Allison Watts","Zabrina Brumme","Dr. Alice Sullivan"
"3-study-core","studies",23,"maelstrom_authorization_date","TEXT",0,0,455,153,0.3363,60,"1969-12-31","2026-04-25","1969-12-31"
"3-study-core","studies",24,"specific_authorized","INTEGER",0,0,455,455,1,2,"0","1","1"
"3-study-core","studies",25,"specific_authorizer","TEXT",0,0,455,154,0.3385,145,"Alissa Goodman","Zabrina Brumme","Dr. Alice Sullivan"
"3-study-core","studies",26,"specific_authorization_date","TEXT",0,0,455,103,0.2264,21,"1969-12-31","2021-11-11","1969-12-31"
"3-study-core","studies",27,"marker_paper","TEXT",0,0,455,311,0.6835,291,"","van Lenthe FJ, Kamphuis CB, Beenackers MA, Jansen T, Looman CW, Nusselder WJ, Ma...","Elliott J, Shepherd P. Cohort profile: 1970 British Birth Cohort (BCS70). Intern..."
"3-study-core","studies",28,"pubmed_id","TEXT",0,0,455,271,0.5956,255,"","9875839","16931528"
"3-study-core","studies",29,"content_json","TEXT",0,1,455,455,1,455,,,
"4-study-context","study_memberships",1,"run_id","TEXT",0,0,2199,2199,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"4-study-context","study_memberships",2,"study_id","TEXT",0,0,2199,2199,1,454,"3d","zulu","bcs70"
