"table_group","table_name","grain","row_count","column_count","primary_key_columns"
"1-run-provenance","extraction_runs","one row per extraction run",1,12,"run_id"
"2-raw-payload","study_inventory","one row per run and study",455,13,"run_id|study_id"
"2-raw-payload","study_detail_raw","one row per run and study",455,5,"run_id|study_id"
"3-study-core","studies","one row per run and study",455,29,"run_id|study_id"
"4-study-context","study_memberships","one row per run, study, role, and person",2199,14,""
"4-study-context","study_attributes","one row per run, study, and annotation term",1628,4,""
"5-population-layer","study_populations","one row per run, study, and population",998,17,"run_id|study_id|population_id"
"5-population-layer","population_countries","one row per population and country",1127,4,""
"5-population-layer","population_recruitment_terms","one row per population and recruitment term",2051,5,""
"6-event-layer","data_collection_events","one row per population and data collection event",6483,11,"run_id|study_id|population_id|dce_id"
"6-event-layer","dce_data_sources","one row per event and data-source term",14347,5,""
"6-event-layer","dce_biosamples","one row per event and biosample term",4585,5,""
